H2O Chem Phys Special Issue vol 258, pp 121-137 (2000)
T=298K Case (b) g_HH(r)

 Bin no.        r             g(r)        std.
    489  14.60997     0.9992380     0.2983814E-01
    490  14.63997     0.9989503     0.2307742E-01
    491  14.66996     0.9989632     0.2069731E-01
    492  14.69996     0.9989521     0.2467149E-01
    493  14.72996     0.9994292     0.2662029E-01
    494  14.75996     0.9990557     0.2156883E-01
    495  14.78996     0.9990488     0.2205929E-01
    496  14.81996     0.9990238     0.2090648E-01
    497  14.84996     0.9989946     0.1949765E-01
    498  14.87996     0.9992794     0.2880549E-01
    499  14.90996     0.9989519     0.2073759E-01
    500  14.93996     0.9990785     0.1880992E-01
    501  14.96996     0.9990957     0.2426468E-01
    502  14.99996     0.9990135     0.2191834E-01
    503  15.02996     0.9990364     0.2067426E-01
    504  15.05996     0.9990585     0.1696909E-01
    505  15.08996     0.9991602     0.2616636E-01
    506  15.11996     0.9991368     0.2937409E-01
    507  15.14996     0.9992757     0.2969095E-01
    508  15.17996     0.9996225     0.2863843E-01
    509  15.20996     0.9994910     0.2885717E-01
    510  15.23996     0.9991587     0.2632647E-01
    511  15.26996     0.9998793     0.2529655E-01
    512  15.29996     0.9993202     0.2961658E-01
    513  15.32996     0.9995054     0.3014618E-01
    514  15.35996      1.000263     0.3310604E-01
    515  15.38996      1.000006     0.2616978E-01
    516  15.41996      1.000167     0.3431197E-01
    517  15.44996      1.000065     0.3385025E-01
    518  15.47996      1.000157     0.3532876E-01
    519  15.50996      1.000427     0.2976514E-01
    520  15.53996      1.001064     0.1734258E-01
    521  15.56996      1.001009     0.1823716E-01
    522  15.59996      1.000928     0.2306838E-01
    523  15.62996      1.000350     0.3387490E-01
    524  15.65996      1.001486     0.1410533E-01
    525  15.68996      1.000778     0.2742211E-01
    526  15.71996      1.000254     0.3566459E-01
    527  15.74996      1.001471     0.1795388E-01
    528  15.77995      1.000590     0.3005013E-01
    529  15.80995      1.001086     0.2415142E-01
    530  15.83995      1.000872     0.2795170E-01
    531  15.86995      1.000974     0.3006005E-01
    532  15.89995      1.001313     0.2324085E-01
    533  15.92995      1.000288     0.3469031E-01
    534  15.95995      1.001283     0.2639430E-01
    535  15.98995      1.001373     0.2414401E-01
    536  16.01995      1.000428     0.3151779E-01
    537  16.04996      1.001131     0.2323316E-01
    538  16.07996      1.001011     0.2727172E-01
    539  16.10996      1.000508     0.2925616E-01
    540  16.13996      1.001184     0.2284770E-01
    541  16.16996      1.000926     0.2406736E-01
    542  16.19996      1.001055     0.2406241E-01
    543  16.22996      1.000954     0.2320235E-01
    544  16.25996      1.000979     0.2349338E-01
    545  16.28996      1.000258     0.3209312E-01
    546  16.31996      1.001253     0.2511209E-01
    547  16.34996      1.000939     0.2524702E-01
    548  16.37996      1.000474     0.3100298E-01
    549  16.40996      1.001172     0.2943490E-01
    550  16.43996      1.000239     0.3580304E-01
    551  16.46996      1.000155     0.3532201E-01
    552  16.49997      1.000834     0.2596858E-01
    553  16.52997     0.9997135     0.3403201E-01
    554  16.55997      1.000110     0.3445066E-01
    555  16.58997      1.000569     0.3070354E-01
    556  16.61997     0.9996555     0.3621026E-01
    557  16.64997      1.000199     0.3561609E-01
    558  16.67997     0.9998094     0.3547104E-01
    559  16.70997      1.000028     0.3452842E-01
    560  16.73997     0.9990832     0.3335268E-01
    561  16.76997     0.9992465     0.3695889E-01
    562  16.79997     0.9994407     0.3325066E-01
    563  16.82997     0.9990543     0.3019063E-01
    564  16.85997     0.9993894     0.3536080E-01
    565  16.88997     0.9990725     0.3160655E-01
    566  16.91998     0.9990906     0.3196098E-01
    567  16.94998     0.9988204     0.3343301E-01
    568  16.97998     0.9982359     0.3525698E-01
    569  17.00998     0.9986709     0.3606429E-01
    570  17.03998     0.9979171     0.3914862E-01
    571  17.06998     0.9975606     0.3556082E-01
    572  17.09998     0.9982532     0.3615673E-01
    573  17.12998     0.9976562     0.3873843E-01
    574  17.15998     0.9979432     0.3913948E-01
    575  17.18998     0.9980221     0.3827639E-01
    576  17.21998     0.9978448     0.4104395E-01
    577  17.24998     0.9972112     0.3651841E-01
    578  17.27998     0.9978710     0.3970870E-01
    579  17.30998     0.9978430     0.4042647E-01
    580  17.33998     0.9982346     0.4035712E-01
    581  17.36999     0.9978626     0.4115128E-01
    582  17.39999      1.000019     0.0000000E+00
    583  30.29982     0.9595504     0.4101926E-01
