H2O Chem Phys Special Issue vol 258, pp 121-137 (2000)
T=298K Case (b) g_OO(r)

 Bin no.        r             g(r)        std.
    230  6.840017      1.071541     0.7681395E-01
    231  6.870017      1.067423     0.7709743E-01
    232  6.900017      1.067339     0.7681783E-01
    233  6.930017      1.062808     0.7536159E-01
    234  6.960018      1.059369     0.7492851E-01
    235  6.990018      1.056425     0.7522701E-01
    236  7.020018      1.052035     0.7471102E-01
    237  7.050018      1.049485     0.7369489E-01
    238  7.080019      1.042917     0.7390891E-01
    239  7.110019      1.039855     0.7389358E-01
    240  7.140019      1.035319     0.7422357E-01
    241  7.170019      1.029948     0.7240818E-01
    242  7.200019      1.026235     0.7185287E-01
    243  7.230020      1.020565     0.7114092E-01
    244  7.260020      1.016061     0.7079320E-01
    245  7.290020      1.012618     0.7049706E-01
    246  7.320020      1.007045     0.7053509E-01
    247  7.350020      1.003440     0.7016994E-01
    248  7.380021     0.9985390     0.6783684E-01
    249  7.410021     0.9939112     0.7043870E-01
    250  7.440021     0.9901828     0.6928262E-01
    251  7.470021     0.9850929     0.6869772E-01
    252  7.500021     0.9833918     0.6773528E-01
    253  7.530022     0.9792904     0.6665307E-01
    254  7.560022     0.9751800     0.6715110E-01
    255  7.590022     0.9731807     0.6673797E-01
    256  7.620022     0.9711600     0.6628946E-01
    257  7.650023     0.9670920     0.6641971E-01
    258  7.680023     0.9669094     0.6562843E-01
    259  7.710023     0.9646645     0.6448364E-01
    260  7.740023     0.9617627     0.6507298E-01
    261  7.770023     0.9602348     0.6478565E-01
    262  7.800024     0.9603503     0.6449473E-01
    263  7.830024     0.9610562     0.6469266E-01
    264  7.860024     0.9608349     0.6384312E-01
    265  7.890024     0.9603761     0.6419088E-01
    266  7.920024     0.9617126     0.6332143E-01
    267  7.950025     0.9612368     0.6298260E-01
    268  7.980025     0.9625633     0.6245134E-01
    269  8.010024     0.9640020     0.6272609E-01
    270  8.040024     0.9648724     0.6297030E-01
    271  8.070024     0.9667253     0.6304314E-01
    272  8.100023     0.9691886     0.6221324E-01
    273  8.130023     0.9704005     0.6212983E-01
    274  8.160023     0.9711522     0.6273132E-01
    275  8.190022     0.9740324     0.6197470E-01
    276  8.220022     0.9746485     0.6178591E-01
    277  8.250022     0.9761074     0.6147934E-01
    278  8.280022     0.9790409     0.6167632E-01
    279  8.310021     0.9807250     0.6155734E-01
    280  8.340021     0.9826158     0.6116149E-01
    281  8.370021     0.9833946     0.6109909E-01
    282  8.400021     0.9854962     0.6006058E-01
    283  8.430020     0.9875628     0.5979651E-01
    284  8.460020     0.9893529     0.6073854E-01
    285  8.490020     0.9896381     0.6009382E-01
    286  8.520020     0.9908401     0.6055328E-01
    287  8.550019     0.9927163     0.6111274E-01
    288  8.580019     0.9936978     0.5831896E-01
    289  8.610019     0.9944782     0.5925379E-01
    290  8.640018     0.9953083     0.5927692E-01
    291  8.670018     0.9977353     0.5944009E-01
    292  8.700018     0.9977642     0.5838637E-01
    293  8.730018     0.9982391     0.5833224E-01
    294  8.760017      1.000212     0.5925429E-01
    295  8.790017      1.000963     0.5894062E-01
    296  8.820017      1.002507     0.5760167E-01
    297  8.850017      1.003346     0.5853370E-01
    298  8.880016      1.004581     0.5796579E-01
    299  8.910016      1.004096     0.5854694E-01
    300  8.940016      1.005440     0.5797093E-01
    301  8.970016      1.005783     0.5847155E-01
    302  9.000015      1.008040     0.5608862E-01
    303  9.030015      1.007762     0.5723210E-01
    304  9.060015      1.008331     0.5678776E-01
    305  9.090014      1.008187     0.5592686E-01
    306  9.120014      1.009623     0.5633462E-01
    307  9.150014      1.011158     0.5683917E-01
    308  9.180014      1.009980     0.5511525E-01
    309  9.210013      1.011713     0.5436831E-01
    310  9.240013      1.011562     0.5556332E-01
    311  9.270013      1.011285     0.5584153E-01
    312  9.300013      1.012290     0.5470493E-01
    313  9.330012      1.012000     0.5590554E-01
    314  9.360012      1.012041     0.5494412E-01
    315  9.390012      1.012072     0.5517686E-01
    316  9.420012      1.012625     0.5455000E-01
    317  9.450011      1.011818     0.5501242E-01
    318  9.480011      1.012045     0.5504816E-01
