H2O Chem Phys Special Issue vol 258, pp 121-137 (2000)
T=298K Case (b) g_OH(r)

 Bin no.        r             g(r)        std.
    229  6.810017      1.027223     0.3744675E-01
    230  6.840017      1.026314     0.3776375E-01
    231  6.870017      1.027229     0.3722004E-01
    232  6.900017      1.027722     0.3764044E-01
    233  6.930017      1.027253     0.3729682E-01
    234  6.960018      1.027030     0.3673485E-01
    235  6.990018      1.026683     0.3705472E-01
    236  7.020018      1.027129     0.3704024E-01
    237  7.050018      1.026816     0.3629083E-01
    238  7.080019      1.027259     0.3648902E-01
    239  7.110019      1.027579     0.3662272E-01
    240  7.140019      1.026655     0.3662435E-01
    241  7.170019      1.024912     0.3601550E-01
    242  7.200019      1.025376     0.3593431E-01
    243  7.230020      1.024580     0.3570134E-01
    244  7.260020      1.023245     0.3546011E-01
    245  7.290020      1.022968     0.3543825E-01
    246  7.320020      1.021974     0.3545675E-01
    247  7.350020      1.021444     0.3523415E-01
    248  7.380021      1.020357     0.3524768E-01
    249  7.410021      1.018803     0.3530344E-01
    250  7.440021      1.018145     0.3496244E-01
    251  7.470021      1.016243     0.3439005E-01
    252  7.500021      1.014486     0.3441950E-01
    253  7.530022      1.012379     0.3354247E-01
    254  7.560022      1.010910     0.3418143E-01
    255  7.590022      1.008475     0.3344638E-01
    256  7.620022      1.006545     0.3416225E-01
    257  7.650023      1.004877     0.3061021E-01
    258  7.680023      1.003429     0.2926634E-01
    259  7.710023      1.000788     0.3423196E-01
    260  7.740023     0.9991150     0.3065399E-01
    261  7.770023     0.9969221     0.3409413E-01
    262  7.800024     0.9952037     0.3031476E-01
    263  7.830024     0.9927112     0.3376739E-01
    264  7.860024     0.9906645     0.3352558E-01
    265  7.890024     0.9898599     0.3180769E-01
    266  7.920024     0.9876609     0.3232997E-01
    267  7.950025     0.9860322     0.3101547E-01
    268  7.980025     0.9843600     0.3142593E-01
    269  8.010024     0.9839821     0.3244132E-01
    270  8.040024     0.9825253     0.3179457E-01
    271  8.070024     0.9814230     0.3183485E-01
    272  8.100023     0.9806305     0.3105484E-01
    273  8.130023     0.9790603     0.3066663E-01
    274  8.160023     0.9794704     0.3103852E-01
    275  8.190022     0.9783285     0.3119177E-01
    276  8.220022     0.9783028     0.3076462E-01
    277  8.250022     0.9782460     0.3137278E-01
    278  8.280022     0.9777751     0.3060437E-01
    279  8.310021     0.9777654     0.3047947E-01
    280  8.340021     0.9784641     0.2994581E-01
    281  8.370021     0.9786360     0.2995477E-01
    282  8.400021     0.9790382     0.3053613E-01
    283  8.430020     0.9796448     0.3057807E-01
    284  8.460020     0.9801648     0.3031967E-01
    285  8.490020     0.9808980     0.3017187E-01
    286  8.520020     0.9813020     0.2974310E-01
    287  8.550019     0.9819921     0.2994283E-01
    288  8.580019     0.9830321     0.3021925E-01
    289  8.610019     0.9844630     0.2963972E-01
    290  8.640018     0.9848835     0.2975012E-01
    291  8.670018     0.9860995     0.2943186E-01
    292  8.700018     0.9866204     0.2980516E-01
    293  8.730018     0.9881476     0.2945413E-01
    294  8.760017     0.9891765     0.3003724E-01
    295  8.790017     0.9895202     0.2937307E-01
    296  8.820017     0.9909086     0.2960853E-01
    297  8.850017     0.9921160     0.2970400E-01
    298  8.880016     0.9931637     0.2815355E-01
    299  8.910016     0.9943045     0.2994482E-01
    300  8.940016     0.9951324     0.2857175E-01
    301  8.970016     0.9967510     0.2797408E-01
    302  9.000015     0.9974060     0.2847563E-01
    303  9.030015     0.9987774     0.2362999E-01
    304  9.060015     0.9993904     0.3197310E-01
    305  9.090014      1.000011     0.3501525E-01
    306  9.120014      1.001693     0.1999272E-01
    307  9.150014      1.002438     0.2805812E-01
    308  9.180014      1.003327     0.2120794E-01
    309  9.210013      1.003980     0.2905581E-01
    310  9.240013      1.004458     0.2608766E-01
    311  9.270013      1.005602     0.2878997E-01
    312  9.300013      1.006258     0.2789834E-01
    313  9.330012      1.006632     0.2574960E-01
    314  9.360012      1.007109     0.2622893E-01
    315  9.390012      1.007252     0.2654966E-01
    316  9.420012      1.008060     0.2546329E-01
    317  9.450011      1.007848     0.2714686E-01
    318  9.480011      1.008519     0.2686213E-01
    319  9.510011      1.008713     0.2721703E-01
    320  9.540010      1.009248     0.2812390E-01
    321  9.570010      1.008971     0.2624710E-01
    322  9.600010      1.009861     0.2645295E-01
    323  9.630010      1.009467     0.2630381E-01
    324  9.660009      1.009465     0.2706770E-01
    325  9.690009      1.009505     0.2679548E-01
    326  9.720009      1.009812     0.2620165E-01
    327  9.750009      1.009532     0.2622211E-01
    328  9.780008      1.009128     0.2699714E-01
    329  9.810008      1.008787     0.2648898E-01
    330  9.840008      1.008579     0.2619937E-01
    331  9.870008      1.008828     0.2611506E-01
    332  9.900007      1.008323     0.2415389E-01
    333  9.930007      1.007945     0.2555909E-01
    334  9.960007      1.007464     0.2723454E-01
    335  9.990006      1.007199     0.2573339E-01
    336  10.02001      1.007123     0.2583511E-01
    337  10.05001      1.007059     0.2661917E-01
    338  10.08001      1.006849     0.2363755E-01
    339  10.11001      1.005695     0.2721484E-01
    340  10.14001      1.005289     0.2792183E-01
    341  10.17000      1.005226     0.2021508E-01
    342  10.20000      1.004897     0.2519266E-01
    343  10.23000      1.004626     0.2420073E-01
    344  10.26000      1.003687     0.2939842E-01
    345  10.29000      1.003630     0.2187751E-01
    346  10.32000      1.003280     0.2242907E-01
    347  10.35000      1.002977     0.2319978E-01
    348  10.38000      1.002599     0.2474868E-01
    349  10.41000      1.001813     0.1826329E-01
    350  10.44000      1.001798     0.2917455E-01
    351  10.47000      1.001787     0.1153419E-01
    352  10.50000      1.001569     0.1917709E-01
    353  10.53000      1.000268     0.3379915E-01
    354  10.56000      1.001022     0.1975881E-01
    355  10.59000     0.9999202     0.2451396E-01
    356  10.62000      1.000378     0.3059268E-01
    357  10.65000     0.9995858     0.2742211E-01
    358  10.68000     0.9992526     0.2940957E-01
    359  10.71000     0.9990305     0.2917353E-01
    360  10.74000     0.9990156     0.2085938E-01
    361  10.77000     0.9984914     0.2459043E-01
    362  10.80000     0.9985812     0.1919107E-01
    363  10.83000     0.9981179     0.2956219E-01
    364  10.86000     0.9978580     0.2796236E-01
    365  10.89000     0.9975302     0.2516426E-01
    366  10.92000     0.9974431     0.2897055E-01
    367  10.95000     0.9975859     0.2599954E-01
    368  10.98000     0.9973261     0.2080502E-01
    369  11.01000     0.9968507     0.2192106E-01
    370  11.04000     0.9970414     0.1619998E-01
    371  11.07000     0.9971023     0.1152126E-01
    372  11.10000     0.9968149     0.2197808E-01
    373  11.13000     0.9964345     0.2582242E-01
    374  11.16000     0.9964219     0.2748074E-01
    375  11.19000     0.9962674     0.2662812E-01
    376  11.22000     0.9967666     0.2116433E-01
    377  11.25000     0.9963735     0.2793570E-01
    378  11.27999     0.9965380     0.2511803E-01
    379  11.30999     0.9967342     0.2222216E-01
    380  11.33999     0.9963317     0.2640107E-01
    381  11.36999     0.9959258     0.2298036E-01
    382  11.39999     0.9962991     0.2696069E-01
    383  11.42999     0.9959363     0.2417978E-01
    384  11.45999     0.9959767     0.2322290E-01
    385  11.48999     0.9962880     0.2134940E-01
    386  11.51999     0.9964150     0.2598693E-01
    387  11.54999     0.9963440     0.2500148E-01
    388  11.57999     0.9964018     0.2388714E-01
    389  11.60999     0.9963658     0.2691533E-01
    390  11.63999     0.9964709     0.2517491E-01
    391  11.66999     0.9959999     0.2500386E-01
    392  11.69999     0.9965662     0.2799964E-01
    393  11.72999     0.9969823     0.1893940E-01
    394  11.75999     0.9973957     0.1021313E-01
    395  11.78999     0.9971782     0.1922055E-01
    396  11.81999     0.9973595     0.2166671E-01
    397  11.84999     0.9978145     0.2501459E-01
    398  11.87999     0.9978508     0.2758897E-01
    399  11.90999     0.9977180     0.2548903E-01
    400  11.93999     0.9980536     0.2494061E-01
    401  11.96999     0.9978544     0.2559404E-01
    402  11.99999     0.9990393     0.2176826E-01
    403  12.02999     0.9990263     0.4011640E-02
    404  12.05999     0.9991241     0.2364260E-01
    405  12.08999     0.9985505     0.2071458E-01
    406  12.11999     0.9991565     0.2745361E-01
    407  12.14999     0.9991490     0.2942477E-01
    408  12.17999     0.9994213     0.2847249E-01
    409  12.20999     0.9992074     0.1929329E-01
    410  12.23999     0.9996527     0.2569979E-01
    411  12.26999      1.000020     0.2056006E-01
    412  12.29999      1.000005     0.2494539E-01
    413  12.32999      1.000571     0.2546563E-01
    414  12.35999      1.000984     0.2100177E-02
    415  12.38999      1.001402     0.8624766E-02
    416  12.41998      1.001052     0.1839013E-01
    417  12.44998      1.001239     0.1862843E-01
    418  12.47998      1.001287     0.1946706E-01
    419  12.50998      1.001813     0.1946400E-01
    420  12.53998      1.001653     0.1721148E-01
    421  12.56998      1.001606     0.2011162E-01
    422  12.59998      1.001899     0.2756303E-01
    423  12.62998      1.001815     0.2095062E-01
    424  12.65998      1.001870     0.2415882E-01
    425  12.68998      1.001887     0.2475350E-01
    426  12.71998      1.001776     0.1611698E-01
    427  12.74998      1.001798     0.1282145E-01
    428  12.77998      1.001670     0.1031187E-01
    429  12.80998      1.001620     0.1146162E-01
    430  12.83998      1.001718     0.1996885E-01
    431  12.86998      1.001812     0.9493273E-02
    432  12.89998      1.001659     0.2202955E-01
    433  12.92998      1.001700     0.2938828E-01
    434  12.95998      1.001679     0.1030609E-01
    435  12.98998      1.001649     0.2512633E-01
    436  13.01998      1.001892     0.3014914E-01
    437  13.04998      1.001684     0.1679787E-01
    438  13.07998      1.001733     0.8379396E-02
    439  13.10998      1.001652     0.9468125E-02
    440  13.13998      1.001731     0.2053395E-01
    441  13.16998      1.001766     0.2836027E-01
    442  13.19998      1.001212     0.1527002E-01
    443  13.22998      1.001686     0.9232261E-02
    444  13.25998      1.001701     0.2598923E-01
    445  13.28998      1.001841     0.1528562E-01
    446  13.31998      1.001616     0.1580705E-01
    447  13.34998      1.001727     0.1593848E-01
    448  13.37998      1.001738     0.2447259E-01
    449  13.40998      1.001558     0.8631675E-02
    450  13.43998      1.001533     0.1622387E-01
    451  13.46998      1.001497     0.1442291E-01
    452  13.49998      1.001276     0.1637745E-01
    453  13.52997      1.001740     0.1939958E-01
    454  13.55997      1.001313     0.1195541E-01
    455  13.58997      1.001468     0.8322295E-02
    456  13.61997      1.000914     0.2024160E-01
    457  13.64997      1.000556     0.2634231E-01
    458  13.67997      1.000507     0.2876511E-01
    459  13.70997      1.000473     0.2933754E-01
